background_objects,branch_accuracy,causal_k,cuda_peak_mb,hidden_dim,layers,model,ms_per_sample_forward,mse,params,selected_k_mean,status,total_objects_n,train_loss
56,0.578125,8,0.0,64,1,wpu-cws-frontier,0.37984,0.003324,61271,8.0,ok,64,0.799522
120,0.578125,8,0.0,64,1,wpu-cws-frontier,0.378415,0.001494,61271,8.0,ok,128,0.799417
248,0.578125,8,0.0,64,1,wpu-cws-frontier,0.527015,0.000763,61271,8.0,ok,256,0.800308
504,0.578125,8,0.0,64,1,wpu-cws-frontier,0.5369,0.000424,61271,8.0,ok,512,0.801099
56,0.578125,8,0.0,64,1,wpu-cws-oracle,0.45082,0.003324,61271,8.0,ok,64,0.799522
120,0.578125,8,0.0,64,1,wpu-cws-oracle,0.481915,0.001494,61271,8.0,ok,128,0.799417
248,0.578125,8,0.0,64,1,wpu-cws-oracle,0.543805,0.000763,61271,8.0,ok,256,0.800308
504,0.578125,8,0.0,64,1,wpu-cws-oracle,0.59633,0.000424,61271,8.0,ok,512,0.801099
56,0.578125,8,0.0,64,1,wpu-cws-learned,0.46747,0.003969,61271,8.0,ok,64,0.780798
120,0.578125,8,0.0,64,1,wpu-cws-learned,0.503135,0.003096,61271,8.0,ok,128,0.690858
248,0.578125,8,0.0,64,1,wpu-cws-learned,0.37475,0.001506,61271,8.0,ok,256,0.731775
504,0.578125,8,0.0,64,1,wpu-cws-learned,0.46278,0.000433,61271,8.0,ok,512,0.788769
56,0.71875,8,0.0,64,1,serialized-token,0.199615,0.006164,52626,8.0,ok,64,0.850976
120,0.578125,8,0.0,64,1,serialized-token,0.29418,0.005911,52626,8.0,ok,128,0.813257
248,0.578125,8,0.0,64,1,serialized-token,0.50017,0.008792,52626,8.0,ok,256,0.838625
504,0.578125,8,0.0,64,1,serialized-token,1.049485,0.008724,52626,8.0,ok,512,0.752347
56,0.578125,8,0.0,64,1,graph-transformer,0.87936,0.009739,69206,8.0,ok,64,0.759157
120,0.578125,8,0.0,64,1,graph-transformer,1.44885,0.008383,69206,8.0,ok,128,0.752766
248,0.578125,8,0.0,64,1,graph-transformer,1.381545,0.005999,69206,8.0,ok,256,0.747533
504,0.578125,8,0.0,64,1,graph-transformer,2.132585,0.005312,69206,8.0,ok,512,0.746932
