budget,causal_k,causal_recall,hand_hit_rate,obstacle_recall,samples,selected_obstacle_pair_density,selected_obstacles,selection_mode,teacher_overlap,total_objects_n
4,8,0.5,1.0,0.0,320,0.0,0,indexed,0.333333,2048
4,8,0.5,0.409375,0.567187,320,0.244792,2.26875,proximity,0.616488,2048
4,8,0.5,1.0,0.5,320,0.6125,2,interaction,1.0,2048
4,8,0.5,1.0,0.5,320,0.559375,2,learned,0.9525,2048
4,16,0.25,1.0,0.0,320,0.0,0,indexed,0.333333,2048
4,16,0.25,0.31875,0.210938,320,0.542708,2.53125,proximity,0.307262,2048
4,16,0.25,1.0,0.166667,320,0.83125,2,interaction,1.0,2048
4,16,0.25,1.0,0.166667,320,0.83125,2,learned,0.9375,2048
4,32,0.125,1.0,0.0,320,0.0,0,indexed,0.333333,2048
4,32,0.125,0.275,0.093862,320,0.807292,2.628125,proximity,0.23631,2048
4,32,0.125,1.0,0.071429,320,0.8625,2,interaction,1.0,2048
4,32,0.125,1.0,0.071429,320,0.878125,2,learned,0.911667,2048
