model,test_seed,threshold,samples,feature_count,label_rate,predicted_dense_rate,accuracy,balanced_accuracy,precision,recall,f1,score_mean,roc_auc,average_precision,brier_score,ece
mlp_state,11,0.02,270,7,0.277778,0.87037,0.348148,0.515897,0.285106,0.893333,0.432258,0.375803,0.542632,0.290417,0.290998,0.232049
mlp_state,11,0.05,270,7,0.277778,0.803704,0.385185,0.525128,0.290323,0.84,0.431507,0.375803,0.542632,0.290417,0.290998,0.232049
mlp_state,11,0.1,270,7,0.277778,0.72963,0.42963,0.539487,0.299492,0.786667,0.433824,0.375803,0.542632,0.290417,0.290998,0.232049
mlp_state,11,0.15,270,7,0.277778,0.659259,0.440741,0.514359,0.286517,0.68,0.403162,0.375803,0.542632,0.290417,0.290998,0.232049
mlp_state,11,0.2,270,7,0.277778,0.607407,0.485185,0.541026,0.304878,0.666667,0.41841,0.375803,0.542632,0.290417,0.290998,0.232049
mlp_state,11,0.3,270,7,0.277778,0.492593,0.540741,0.546667,0.315789,0.56,0.403846,0.375803,0.542632,0.290417,0.290998,0.232049
mlp_state,11,0.4,270,7,0.277778,0.425926,0.57037,0.546667,0.321739,0.493333,0.389474,0.375803,0.542632,0.290417,0.290998,0.232049
mlp_state,11,0.5,270,7,0.277778,0.351852,0.607407,0.551795,0.336842,0.426667,0.376471,0.375803,0.542632,0.290417,0.290998,0.232049
mlp_state_cal_balanced_accuracy,11,0.4,270,7,0.277778,0.425926,0.57037,0.546667,0.321739,0.493333,0.389474,0.375803,0.542632,0.290417,0.290998,0.232049
mlp_state_cal_f1,11,0.5,270,7,0.277778,0.351852,0.607407,0.551795,0.336842,0.426667,0.376471,0.375803,0.542632,0.290417,0.290998,0.232049
interaction_density,11,0.05,270,1,0.277778,1.0,0.277778,0.5,0.277778,1.0,0.434783,0.182101,0.387692,0.221811,0.215001,0.140478
interaction_density,11,0.1,270,1,0.277778,0.988889,0.288889,0.507692,0.280899,1.0,0.438596,0.182101,0.387692,0.221811,0.215001,0.140478
interaction_density,11,0.15,270,1,0.277778,0.848148,0.340741,0.494359,0.275109,0.84,0.414474,0.182101,0.387692,0.221811,0.215001,0.140478
interaction_density,11,0.2,270,1,0.277778,0.281481,0.522222,0.406667,0.144737,0.146667,0.145695,0.182101,0.387692,0.221811,0.215001,0.140478
interaction_density,11,0.3,270,1,0.277778,0.007407,0.714815,0.494872,0.0,0.0,0.0,0.182101,0.387692,0.221811,0.215001,0.140478
interaction_density_cal_balanced_accuracy,11,0.2,270,1,0.277778,0.281481,0.522222,0.406667,0.144737,0.146667,0.145695,0.182101,0.387692,0.221811,0.215001,0.140478
interaction_density_cal_f1,11,0.02,270,1,0.277778,1.0,0.277778,0.5,0.277778,1.0,0.434783,0.182101,0.387692,0.221811,0.215001,0.140478
mlp_sparse_diagnostics,11,0.02,270,12,0.277778,0.188889,0.622222,0.48,0.235294,0.16,0.190476,0.04929,0.57347,0.312114,0.288496,0.285298
mlp_sparse_diagnostics,11,0.05,270,12,0.277778,0.122222,0.659259,0.489231,0.242424,0.106667,0.148148,0.04929,0.57347,0.312114,0.288496,0.285298
mlp_sparse_diagnostics,11,0.1,270,12,0.277778,0.1,0.659259,0.476923,0.185185,0.066667,0.098039,0.04929,0.57347,0.312114,0.288496,0.285298
mlp_sparse_diagnostics,11,0.15,270,12,0.277778,0.088889,0.662963,0.475385,0.166667,0.053333,0.080808,0.04929,0.57347,0.312114,0.288496,0.285298
mlp_sparse_diagnostics,11,0.2,270,12,0.277778,0.066667,0.677778,0.481538,0.166667,0.04,0.064516,0.04929,0.57347,0.312114,0.288496,0.285298
mlp_sparse_diagnostics,11,0.3,270,12,0.277778,0.051852,0.685185,0.482564,0.142857,0.026667,0.044944,0.04929,0.57347,0.312114,0.288496,0.285298
mlp_sparse_diagnostics,11,0.4,270,12,0.277778,0.048148,0.688889,0.485128,0.153846,0.026667,0.045455,0.04929,0.57347,0.312114,0.288496,0.285298
mlp_sparse_diagnostics,11,0.5,270,12,0.277778,0.033333,0.696296,0.486154,0.111111,0.013333,0.02381,0.04929,0.57347,0.312114,0.288496,0.285298
mlp_sparse_diagnostics_cal_balanced_accuracy,11,0.5,270,12,0.277778,0.033333,0.696296,0.486154,0.111111,0.013333,0.02381,0.04929,0.57347,0.312114,0.288496,0.285298
mlp_sparse_diagnostics_cal_f1,11,0.5,270,12,0.277778,0.033333,0.696296,0.486154,0.111111,0.013333,0.02381,0.04929,0.57347,0.312114,0.288496,0.285298
mlp_state,13,0.02,270,7,0.244444,0.688889,0.474074,0.595588,0.295699,0.833333,0.436508,0.351557,0.588012,0.316575,0.290605,0.277794
mlp_state,13,0.05,270,7,0.244444,0.611111,0.5,0.576872,0.290909,0.727273,0.415584,0.351557,0.588012,0.316575,0.290605,0.277794
mlp_state,13,0.1,270,7,0.244444,0.562963,0.525926,0.578654,0.296053,0.681818,0.412844,0.351557,0.588012,0.316575,0.290605,0.277794
mlp_state,13,0.15,270,7,0.244444,0.533333,0.548148,0.588235,0.305556,0.666667,0.419048,0.351557,0.588012,0.316575,0.290605,0.277794
mlp_state,13,0.2,270,7,0.244444,0.514815,0.551852,0.580437,0.302158,0.636364,0.409756,0.351557,0.588012,0.316575,0.290605,0.277794
mlp_state,13,0.3,270,7,0.244444,0.47037,0.566667,0.569742,0.299213,0.575758,0.393782,0.351557,0.588012,0.316575,0.290605,0.277794
mlp_state,13,0.4,270,7,0.244444,0.414815,0.57037,0.536319,0.276786,0.469697,0.348315,0.351557,0.588012,0.316575,0.290605,0.277794
mlp_state,13,0.5,270,7,0.244444,0.374074,0.574074,0.513146,0.257426,0.393939,0.311377,0.351557,0.588012,0.316575,0.290605,0.277794
mlp_state_cal_balanced_accuracy,13,0.5,270,7,0.244444,0.374074,0.574074,0.513146,0.257426,0.393939,0.311377,0.351557,0.588012,0.316575,0.290605,0.277794
mlp_state_cal_f1,13,0.5,270,7,0.244444,0.374074,0.574074,0.513146,0.257426,0.393939,0.311377,0.351557,0.588012,0.316575,0.290605,0.277794
interaction_density,13,0.05,270,1,0.244444,1.0,0.244444,0.5,0.244444,1.0,0.392857,0.182385,0.533274,0.271131,0.189246,0.064359
interaction_density,13,0.1,270,1,0.244444,0.992593,0.244444,0.494875,0.242537,0.984848,0.389222,0.182385,0.533274,0.271131,0.189246,0.064359
interaction_density,13,0.15,270,1,0.244444,0.82963,0.318519,0.482398,0.236607,0.80303,0.365517,0.182385,0.533274,0.271131,0.189246,0.064359
interaction_density,13,0.2,270,1,0.244444,0.307407,0.633333,0.547237,0.301205,0.378788,0.33557,0.182385,0.533274,0.271131,0.189246,0.064359
interaction_density,13,0.3,270,1,0.244444,0.003704,0.751852,0.497549,0.0,0.0,0.0,0.182385,0.533274,0.271131,0.189246,0.064359
interaction_density_cal_balanced_accuracy,13,0.1,270,1,0.244444,0.992593,0.244444,0.494875,0.242537,0.984848,0.389222,0.182385,0.533274,0.271131,0.189246,0.064359
interaction_density_cal_f1,13,0.1,270,1,0.244444,0.992593,0.244444,0.494875,0.242537,0.984848,0.389222,0.182385,0.533274,0.271131,0.189246,0.064359
mlp_sparse_diagnostics,13,0.02,270,12,0.244444,0.148148,0.651852,0.462121,0.15,0.090909,0.113208,0.070058,0.389854,0.198585,0.279417,0.282796
mlp_sparse_diagnostics,13,0.05,270,12,0.244444,0.12963,0.662963,0.464349,0.142857,0.075758,0.09901,0.070058,0.389854,0.198585,0.279417,0.282796
mlp_sparse_diagnostics,13,0.1,270,12,0.244444,0.118519,0.674074,0.471702,0.15625,0.075758,0.102041,0.070058,0.389854,0.198585,0.279417,0.282796
mlp_sparse_diagnostics,13,0.15,270,12,0.244444,0.103704,0.674074,0.461453,0.107143,0.045455,0.06383,0.070058,0.389854,0.198585,0.279417,0.282796
mlp_sparse_diagnostics,13,0.2,270,12,0.244444,0.096296,0.681481,0.466355,0.115385,0.045455,0.065217,0.070058,0.389854,0.198585,0.279417,0.282796
mlp_sparse_diagnostics,13,0.3,270,12,0.244444,0.074074,0.696296,0.471034,0.1,0.030303,0.046512,0.070058,0.389854,0.198585,0.279417,0.282796
mlp_sparse_diagnostics,13,0.4,270,12,0.244444,0.074074,0.696296,0.471034,0.1,0.030303,0.046512,0.070058,0.389854,0.198585,0.279417,0.282796
mlp_sparse_diagnostics,13,0.5,270,12,0.244444,0.066667,0.703704,0.475936,0.111111,0.030303,0.047619,0.070058,0.389854,0.198585,0.279417,0.282796
mlp_sparse_diagnostics_cal_balanced_accuracy,13,0.5,270,12,0.244444,0.066667,0.703704,0.475936,0.111111,0.030303,0.047619,0.070058,0.389854,0.198585,0.279417,0.282796
mlp_sparse_diagnostics_cal_f1,13,0.5,270,12,0.244444,0.066667,0.703704,0.475936,0.111111,0.030303,0.047619,0.070058,0.389854,0.198585,0.279417,0.282796
